date,adj_close,
11/07/2025,336.02,
11/06/2025,336.96,
11/05/2025,340.04,
11/04/2025,340.3,
11/03/2025,336.9,
10/31/2025,340.74,
10/30/2025,345.03,
10/29/2025,341.28,
10/28/2025,346.9,
10/27/2025,347.82,
10/24/2025,347.38,
10/23/2025,345.96,
10/22/2025,345.36,
10/21/2025,347.21,
10/20/2025,344.41,
10/17/2025,341.89,
10/16/2025,335.4,
10/15/2025,345.69,
10/14/2025,348.38,
10/13/2025,343.3,
10/10/2025,343.65,
10/09/2025,347.04,
10/08/2025,351.36,
10/07/2025,352.42,
10/06/2025,349.28,
10/03/2025,349.84,
10/02/2025,345.95,
10/01/2025,347.83,
09/30/2025,341.38,
09/29/2025,340.16,
09/26/2025,337.37,
09/25/2025,334.93,
09/24/2025,338.68,
09/23/2025,338.7,
09/22/2025,344.36,
09/19/2025,341.61,
09/18/2025,338.18,
09/17/2025,346.2,
09/16/2025,340.03,
09/15/2025,339.05,
09/12/2025,339.43,
09/11/2025,343.49,
09/10/2025,338.12,
09/09/2025,343.99,
09/08/2025,342.3,
09/05/2025,343.22,
09/04/2025,350.99,
09/03/2025,350.87,
09/02/2025,350.07,
08/29/2025,351.78,
08/28/2025,349.86,
08/27/2025,350.35,
08/26/2025,351.18,
08/25/2025,348.82,
08/22/2025,350.04,
08/21/2025,343.69,
08/20/2025,343.93,
08/19/2025,342.45,
08/18/2025,342.74,
08/15/2025,344.47,
08/14/2025,345.49,
08/13/2025,342.55,
08/12/2025,336.74,
08/11/2025,335.9,
08/08/2025,336.78,
08/07/2025,332.09,
08/06/2025,339.74,
08/05/2025,337.43,
08/04/2025,342.15,
08/01/2025,339.35,
07/31/2025,345.47,
07/30/2025,350.91,
07/29/2025,351.29,
07/28/2025,355.47,
07/25/2025,357.04,
07/24/2025,353.97,
07/23/2025,355.29,
07/22/2025,351.86,
07/21/2025,350.94,
07/18/2025,349.05,
07/17/2025,349.81,
07/16/2025,349.9,
07/15/2025,347.02,
07/14/2025,350.5,
07/11/2025,347.93,
07/10/2025,355.88,
07/09/2025,357.76,
07/08/2025,354.55,
07/07/2025,356.64,
07/03/2025,358.86,
07/02/2025,354.22,
07/01/2025,355.47,
06/30/2025,355.05,
06/27/2025,348.61,
06/26/2025,346.03,
06/25/2025,345.26,
06/24/2025,351.63,
06/23/2025,343.75,
06/20/2025,338.57,
06/18/2025,340.38,
06/17/2025,357.84,
06/16/2025,355.48,
06/13/2025,352.85,
06/12/2025,371.4,
06/11/2025,373.31,
06/10/2025,370.7,
06/09/2025,366.66,
06/06/2025,370.22,
06/05/2025,366.77,
06/04/2025,368,
06/03/2025,365.86,
06/02/2025,365.32,
