date,adj_close,,
11/07/2025,551.97,,
11/06/2025,553.28,,
11/05/2025,553.31,,
11/04/2025,552.75,,
11/03/2025,544.07,,
10/31/2025,551.99,,
10/30/2025,553.68,,
10/29/2025,554.58,,
10/28/2025,565.93,,
10/27/2025,572.36,,
10/24/2025,573.67,,
10/23/2025,573.77,,
10/22/2025,571.36,,
10/21/2025,572.03,,
10/20/2025,566.36,,
10/17/2025,560.97,,
10/16/2025,549.88,,
10/15/2025,562.81,,
10/14/2025,567.92,,
10/13/2025,559.24,,
10/10/2025,557.48,,
10/09/2025,564.55,,
10/08/2025,576.44,,
10/07/2025,579.84,,
10/06/2025,578.81,,
10/03/2025,580.45,,
10/02/2025,577.33,,
10/01/2025,573.77,,
09/30/2025,568.81,,
09/29/2025,568.14,,
09/26/2025,565.13,,
09/25/2025,567.3,,
09/24/2025,568.81,,
09/23/2025,569.97,,
09/22/2025,584.49,,
09/19/2025,584.16,,
09/18/2025,586.05,,
09/17/2025,598.63,,
09/16/2025,586.42,,
09/15/2025,582.96,,
09/12/2025,580.41,,
09/11/2025,588.73,,
09/10/2025,579.38,,
09/09/2025,584,,
09/08/2025,586.6,,
09/05/2025,584.22,,
09/04/2025,595.64,,
09/03/2025,593.28,,
09/02/2025,591.87,,
08/29/2025,595.29,,
08/28/2025,590.48,,
08/27/2025,590.66,,
08/26/2025,591.61,,
08/25/2025,593.21,,
08/22/2025,598.96,,
08/21/2025,591.92,,
08/20/2025,592.68,,
08/19/2025,585.51,,
08/18/2025,584.14,,
08/15/2025,581.7,,
08/14/2025,583.76,,
08/13/2025,577.9,,
08/12/2025,574.18,,
08/11/2025,573.59,,
08/08/2025,574.32,,
08/07/2025,561.22,,
08/06/2025,569.13,,
08/05/2025,566.04,,
08/04/2025,569.81,,
08/01/2025,559.89,,
07/31/2025,566.47,,
07/30/2025,559.11,,
07/29/2025,563.32,,
07/28/2025,568.28,,
07/25/2025,568.22,,
07/24/2025,563.5,,
07/23/2025,562.09,,
07/22/2025,558.76,,
07/21/2025,554.65,,
07/18/2025,552.66,,
07/17/2025,555.61,,
07/16/2025,555.52,,
07/15/2025,550.36,,
07/14/2025,553.02,,
07/11/2025,550.18,,
07/10/2025,563.52,,
