Date,Close
2021-11-01,165.68289184570312
2021-11-02,164.69378662109375
2021-11-03,164.1612091064453
2021-11-04,164.0851287841797
2021-11-05,168.04147338867188
2021-11-08,171.23703002929688
2021-11-09,171.0563201904297
2021-11-10,172.51145935058594
2021-11-11,172.42584228515625
2021-11-12,172.98695373535156
2021-11-15,174.16627502441406
2021-11-16,172.064453125
2021-11-17,170.81857299804688
2021-11-18,167.5850067138672
2021-11-19,165.04568481445312
2021-11-22,162.534912109375
2021-11-23,162.4873504638672
2021-11-24,163.21017456054688
2021-11-26,149.14407348632812
2021-11-29,150.13314819335938
2021-11-30,144.84535217285156
2021-12-01,142.7149658203125
2021-12-02,149.0965118408203
2021-12-03,148.30715942382812
2021-12-06,152.8151397705078
2021-12-07,158.7782440185547
2021-12-08,160.66131591796875
2021-12-09,159.79586791992188
2021-12-10,158.85433959960938
2021-12-13,155.3069305419922
2021-12-14,154.87892150878906
2021-12-15,154.29879760742188
2021-12-16,155.0216064453125
2021-12-17,152.17791748046875
2021-12-20,148.25961303710938
2021-12-21,153.0338897705078
2021-12-22,154.51756286621094
2021-12-23,156.15333557128906
2021-12-27,156.3435516357422
2021-12-28,156.36256408691406
2021-12-29,155.81097412109375
2021-12-30,156.1248016357422
2021-12-31,155.5922088623047
2022-01-03,159.97657775878906
2022-01-04,165.1122589111328
2022-01-05,163.35279846191406
2022-01-06,164.84970092773438
2022-01-07,166.2607879638672
2022-01-10,165.65061950683594
2022-01-11,167.21426391601562
2022-01-12,166.3466033935547
2022-01-13,165.22152709960938
2022-01-14,160.55921936035156
2022-01-18,158.43309020996094
2022-01-19,153.8756103515625
2022-01-20,153.42750549316406
2022-01-21,151.34901428222656
2022-01-24,151.5301513671875
2022-01-25,165.0499267578125
2022-01-26,167.1570587158203
2022-01-27,163.89625549316406
2022-01-28,168.81605529785156
2022-01-31,171.447509765625
2022-02-01,174.99432373046875
2022-02-02,175.58546447753906
2022-02-03,175.4710235595703
2022-02-04,177.19677734375
2022-02-07,179.1226806640625
2022-02-08,184.96728515625
2022-02-09,187.2555389404297
2022-02-10,186.406982421875
2022-02-11,182.8792266845703
2022-02-14,183.39410400390625
2022-02-15,188.76199340820312
2022-02-16,189.1433563232422
2022-02-17,186.59765625
2022-02-18,185.80630493164062
2022-02-22,183.47991943359375
2022-02-23,180.1524200439453
2022-02-24,179.58033752441406
2022-02-25,184.69082641601562
2022-02-28,185.48216247558594
2022-03-01,169.7694549560547
2022-03-02,171.91468811035156
2022-03-03,171.51426696777344
2022-03-04,164.89735412597656
